MCTS,1,MCTS,10,Random,3,Random,2,,,59,1,4,1,10,19,15,10,2,1,4,15,4,0,0,0,0,4,70,101,35,53,10.576271186440678,183.15443037974683,11.435443037974684
MCTS,1,MCTS,10,Random,3,Random,4,,,123,1,4,1,9,16,5,8,1,0,5,15,4,2,1,1,1,9,152,211,60,54,9.642276422764228,192.61001317523056,9.080368906455863
MCTS,3,Random,4,Random,6,MCTS,10,,,97,2,7,3,10,6,20,25,0,1,5,15,4,1,0,0,1,6,119,173,50,35,9.744897959183673,144.9496644295302,12.015100671140939
MCTS,3,Random,4,Random,6,MCTS,10,,,56,1,5,3,6,8,15,22,0,2,3,15,1,1,1,0,1,4,71,80,25,31,9.421052631578947,152.49714285714285,11.762857142857143
MCTS,2,Random,2,MCTS,10,Random,4,,,65,2,8,2,10,4,22,13,1,0,5,15,8,0,1,1,1,12,74,114,34,15,9.590909090909092,162.79807692307693,9.51923076923077
MCTS,1,MCTS,10,Random,4,Random,5,,,85,1,7,2,11,22,11,15,1,3,0,14,7,1,1,1,2,12,115,144,35,60,10.352941176470589,137.5979381443299,14.68213058419244
MCTS,1,MCTS,10,Random,9,Random,3,,,64,2,3,1,12,19,14,13,1,3,2,15,0,0,0,0,0,0,76,100,25,27,9.5,133.55227882037534,13.74798927613941
Random,2,MCTS,2,Random,10,Random,4,,,51,2,3,2,5,15,21,6,0,0,2,4,0,0,0,0,0,0,70,92,27,0,9.549019607843137,110.3768115942029,15.03768115942029
MCTS,1,MCTS,10,Random,2,Random,6,,,52,,,1,9,25,17,16,1,3,1,15,2,0,1,0,1,4,59,77,19,31,9.903846153846153,176.68376068376068,15.313390313390313
MCTS,1,MCTS,10,Random,5,Random,2,,,63,,,1,7,19,17,8,2,1,5,15,1,0,0,0,1,2,80,111,28,18,9.746031746031745,158.4591836734694,12.364795918367347
