Winner Type,Winner Num,First Player Type,First Player VP,Second Player Type,Second Player VP,Third Player Type,Third Player VP,Fourth Player Type,Fourth Player VP,Number Rounds,Largest Army Player,Largest Army Size,Longest Road Player,Longest Road Size,Num Initial Dots Player 1,Num Initial Dots Player 2,Num Initial Dots Player 3,Num Initial Dots Player 4,MCTS Num Ports,MCTS Num Cities,MCTS Num Settlements,MCTS Num Roads,MCTS Num Knights Played,MCTS Num YOP Played,MCTS Num Monopoly Played,MCTS Num Road Builder Played,MCTS Num VP Dev Cards,MCTS Num Devs Bought,MCTS Total Trades Accepted,MCTS Total Trades Proposed,MCTS Trades Proposed Successfully,Total Trades with Bank,Average Move per Turn,Average Number of Moves Considered by MCTS Algorithm,Average Number of Cycles Run by MCTS Algorithm per Decided Move
MCTS,2,Random,3,MCTS,10,Random,3,,,64,2,3,2,9,7,23,4,,0,0,5,15,3,1,0,0,1,6,68,85,20,12,8.707692307692307,100.0,9.092896174863387
MCTS,3,Random,4,Random,2,MCTS,10,,,63,,,1,7,5,6,21,,0,3,4,15,1,0,0,0,0,1,63,88,24,33,8.96875,100.0,10.29810298102981
MCTS,3,Random,4,Random,5,MCTS,10,,,99,,,3,9,8,8,16,,1,2,4,15,1,0,0,0,0,1,127,171,55,102,10.33,100.0,13.326440177252586
MCTS,3,Random,2,Random,3,MCTS,10,,,50,,,3,8,6,9,20,,1,1,3,15,0,0,0,0,3,3,40,74,16,13,8.901960784313726,100.0,11.028070175438597
MCTS,1,MCTS,10,Random,3,Random,3,,,68,1,5,1,9,23,14,10,,0,2,0,14,5,0,0,1,2,8,81,107,32,30,9.705882352941176,100.0,11.116945107398568
MCTS,1,MCTS,10,Random,3,Random,5,,,50,,,1,9,21,12,18,,1,3,2,15,1,0,0,0,0,1,60,82,18,26,10.06,100.0,16.66773162939297
MCTS,1,MCTS,10,Random,6,Random,3,,,98,2,3,2,11,15,14,9,,2,3,4,15,1,0,0,0,0,2,112,159,42,59,9.826530612244898,100.0,12.71828665568369
Random,1,Random,10,Random,3,MCTS,5,,,53,1,3,3,6,16,15,19,,0,1,1,10,0,0,0,0,0,0,70,92,25,8,9.622641509433961,100.0,14.701219512195122
MCTS,3,Random,2,Random,7,MCTS,10,,,38,2,4,3,9,7,22,21,,1,3,2,15,0,0,0,0,0,0,44,53,19,19,9.435897435897436,100.0,14.427450980392157
MCTS,1,MCTS,10,Random,4,Random,5,,,78,1,5,1,8,15,10,12,,1,1,4,15,5,0,0,0,0,6,84,124,23,61,9.923076923076923,100.0,12.52965235173824
MCTS,2,Random,4,MCTS,10,Random,2,,,51,1,3,2,8,12,19,15,,2,1,5,15,0,0,0,1,1,2,53,81,23,43,9.884615384615385,100.0,17.96941896024465
MCTS,2,Random,5,MCTS,10,Random,3,,,116,2,4,1,10,3,22,10,,1,2,3,15,4,0,1,0,1,6,113,181,47,120,9.572649572649572,100.0,11.493540051679586
MCTS,1,MCTS,10,Random,4,Random,5,,,79,2,4,1,9,21,19,8,,0,3,2,15,1,0,0,0,0,1,86,134,39,46,9.848101265822784,100.0,11.241904761904761
MCTS,1,MCTS,10,Random,2,Random,8,,,62,3,3,1,10,18,4,21,,1,2,4,15,1,1,0,0,0,2,75,98,36,36,9.983870967741936,100.0,15.508393285371703
MCTS,2,Random,2,MCTS,10,Random,5,,,40,3,3,2,9,18,21,14,,2,2,4,15,0,0,0,0,0,0,46,72,19,22,10.21951219512195,100.0,16.392996108949415
MCTS,3,Random,4,Random,2,MCTS,10,,,44,,,3,11,13,5,20,,0,2,4,15,0,0,0,0,0,0,52,64,19,13,9.022222222222222,100.0,10.447272727272727
MCTS,1,MCTS,10,Random,5,Random,4,,,51,3,3,1,8,17,15,15,,2,2,3,15,0,0,0,0,1,1,57,92,24,12,9.823529411764707,100.0,13.760736196319018
MCTS,2,Random,5,MCTS,10,Random,7,,,42,3,3,1,6,12,24,14,,0,3,3,15,0,0,0,0,1,1,53,72,18,35,10.279069767441861,100.0,19.515254237288136
MCTS,2,Random,6,MCTS,10,Random,2,,,53,1,3,2,12,16,24,11,,1,1,4,15,1,1,0,0,2,4,62,89,31,13,9.722222222222221,100.0,10.644508670520231
MCTS,3,Random,2,Random,3,MCTS,10,,,47,,,3,7,9,13,20,,3,2,4,15,0,0,0,0,0,0,59,76,19,40,10.0,100.0,13.865030674846626
MCTS,2,Random,2,MCTS,10,Random,7,,,62,,,3,10,14,18,11,,0,4,2,15,1,0,0,0,0,1,63,96,21,29,9.396825396825397,100.0,13.751243781094526
MCTS,1,MCTS,10,Random,8,Random,5,,,68,2,5,2,8,20,16,8,,0,2,4,15,1,0,1,0,2,5,75,114,23,18,9.808823529411764,100.0,12.14975845410628
MCTS,3,Random,4,Random,5,MCTS,10,,,61,2,3,3,6,20,14,24,,1,2,2,15,2,0,1,1,2,6,76,94,22,30,9.709677419354838,100.0,14.676691729323307
MCTS,3,Random,8,Random,2,MCTS,10,,,73,,,1,8,10,7,21,,2,3,4,15,1,0,0,0,0,1,100,129,42,48,10.283783783783784,100.0,15.033464566929133
MCTS,3,Random,5,Random,2,MCTS,10,,,51,,,3,9,18,8,20,,0,2,4,15,1,0,0,0,0,1,61,85,28,16,9.442307692307692,100.0,16.092879256965944
Random,2,MCTS,3,Random,10,Random,3,,,66,2,3,2,10,18,16,13,,1,1,1,5,0,0,0,0,0,0,82,117,32,20,9.681818181818182,100.0,11.933962264150944
Random,1,Random,10,MCTS,9,Random,2,,,47,1,5,2,8,12,16,12,,0,2,3,15,0,0,0,0,0,0,56,79,16,21,10.063829787234043,100.0,14.971246006389777
MCTS,1,MCTS,10,Random,3,Random,4,,,41,3,3,1,10,22,6,20,,1,3,2,15,0,0,1,0,0,1,53,59,16,17,9.487804878048781,100.0,14.343629343629344
